id;contact_id;name;interest;deletedAt;user_id;plan_stage_id;stage_order;not_company
1;3;Unilever;1;NULL;1;1;1;0
3;NULL;"LATAM Airlines";1;NULL;1;NULL;NULL;0
5;2;LabLab;1;NULL;1;3;1;0
6;1;UBINN;3;NULL;1;NULL;NULL;0
8;7;"Calma Ltda";1;NULL;1;2;1;0
13;11;Entel;1;NULL;129;3;2;0
14;NULL;"Empresa 6";0;NULL;129;1;1;0
15;954;"Empresa 7";2;NULL;129;2;3;0
17;396;Hortifrut;1;NULL;252;NULL;NULL;0
18;NULL;Fedex;1;NULL;254;NULL;NULL;0
19;NULL;3M;1;NULL;254;NULL;NULL;0
20;99;Telefonica;1;NULL;254;2;1;0
21;287;"Security Seguros";1;NULL;256;NULL;NULL;0
22;279;LHH;1;NULL;254;3;1;0
23;NULL;"Coca Cola";1;NULL;254;NULL;NULL;0
24;NULL;Metlife;1;NULL;256;NULL;NULL;0
25;192;BAT;1;NULL;254;2;3;0
26;NULL;Natura;1;NULL;254;NULL;NULL;0
27;NULL;Scotiabank;1;NULL;254;NULL;NULL;0
28;109;"Copec S.A.";1;NULL;255;1;1;0
29;281;"Zurich Santander ";2;NULL;256;NULL;NULL;0
30;399;BCI;1;NULL;252;1;9999;0
31;423;"Finning Chile";1;NULL;255;NULL;NULL;0
32;NULL;Nestlé;1;NULL;255;NULL;NULL;0
33;NULL;Petrobras;2;NULL;255;NULL;NULL;0
34;NULL;"Boston Consulting Group";1;NULL;254;NULL;NULL;0
35;NULL;Natura;1;NULL;259;NULL;NULL;0
36;372;Falabella;2;NULL;258;1;1;0
37;NULL;Nestlé;2;NULL;258;NULL;NULL;0
38;333;Cencosud;2;NULL;252;NULL;NULL;0
39;347;Codelco;2;NULL;258;1;2;0
40;NULL;"Goodyear Chile";1;NULL;255;NULL;NULL;0
41;NULL;"DHL Express";2;NULL;259;NULL;NULL;0
42;NULL;"Viña Concha y Toro";1;NULL;258;NULL;NULL;0
43;NULL;Waltmart;1;NULL;255;NULL;NULL;0
44;NULL;Entel;1;NULL;258;NULL;NULL;0
45;NULL;Falabella;2;NULL;259;NULL;NULL;0
46;98;Enap;1;NULL;255;NULL;NULL;0
47;NULL;Copec;1;NULL;258;NULL;NULL;0
48;98;Gasco;1;NULL;255;NULL;NULL;0
49;NULL;Praxis;1;NULL;256;NULL;NULL;0
50;NULL;"Coca Cola";1;NULL;258;NULL;NULL;0
51;NULL;Nestlé;1;NULL;259;NULL;NULL;0
52;NULL;Latam;1;NULL;258;NULL;NULL;0
53;NULL;Abastible;2;NULL;255;NULL;NULL;0
54;NULL;Walmart;2;NULL;258;NULL;NULL;0
55;NULL;Lipigas;1;NULL;255;NULL;NULL;0
